year,trimestre,n_obs,masa_salarial,suma_pesos,media_pond,media_simple,p99_5,t_index,version,trimestre_raw,ipc_q_avg,deflator_q,sd_nominal,var_nominal,cv_nominal,media_pond_real,media_simple_real,mean_nominal,mean_real,masa_salarial_real,p99_5_real,sd_real,var_real,cv_real,media_ajustada_cv,flag_cv_neg,flag_cv_hi,flag_adj_neg
2008,1,3655,671972811.5045693,2033.675771355629,330422.78467852256,330422.78467852256,NA,2008.1,sin_winsor,T1,71.93097165247286,0.7193097165247286,NA,NA,NA,459360.9360303465,459360.9360303465,330422.78467852256,459360.9360303465,934191205.9121587,NA,572771.0148749575,328066635480.88873,1.2468866417433433,-113410.078844611,FALSE,FALSE,TRUE
2008,2,3573,673015540.7651424,2003.653482913971,335894.178561433,335894.178561433,NA,2008.2,sin_winsor,T2,73.60463822818078,0.7360463822818077,NA,NA,NA,456349.20114698727,456349.20114698727,335894.178561433,456349.20114698727,914365666.3031694,NA,591741.4675466768,350157964414.29474,1.2966856654057788,-135392.2663996895,FALSE,FALSE,TRUE
2008,3,3802,767616107.2899787,2122.052055835724,361732.9297738033,361732.9297738033,NA,2008.3,sin_winsor,T3,76.19681858371342,0.7619681858371342,NA,NA,NA,474734.9515339494,474734.9515339494,361732.9297738033,474734.9515339494,1007412279.87969,NA,671621.1878644569,451075019988.46405,1.4147287569502405,-196886.2363305075,FALSE,FALSE,TRUE
2008,4,3924,697528666.3338518,2100.728699684143,332041.2895005097,332041.2895005097,NA,2008.4,sin_winsor,T4,77.28293716867888,0.7728293716867889,NA,NA,NA,429643.7243007359,429643.7243007359,332041.2895005097,429643.7243007359,902564902.2777374,NA,516527.23639474623,266800385937.59406,1.2022222301406056,-86883.51209401032,FALSE,FALSE,TRUE
2009,1,3648,677747066.1326408,2001.2695999145508,338658.55263157893,338658.55263157893,NA,2009.1,sin_winsor,T1,75.97143256631625,0.7597143256631625,NA,NA,NA,445770.9183461301,445770.9183461301,338658.55263157893,445770.9183461301,892107787.4121017,NA,580266.8239915927,336709587025.2901,1.3017152983968996,-134495.9056454626,FALSE,FALSE,TRUE
2009,2,3642,698477021.7904524,1996.643429517746,349825.61806699616,349825.61806699616,NA,2009.2,sin_winsor,T2,75.91945740839756,0.7591945740839756,NA,NA,NA,460785.19263534865,460785.19263534865,349825.61806699616,460785.19263534865,920023727.2944376,NA,602811.2111188823,363381356250.6137,1.3082260904940335,-142026.01848353364,FALSE,FALSE,TRUE
2009,3,3634,754266898.1898427,2010.4386414289474,375175.2889378096,375175.2889378096,NA,2009.3,sin_winsor,T3,75.7615939068714,0.7576159390687139,NA,NA,NA,495205.11593115004,495205.11593115004,375175.2889378096,495205.11593115004,995579500.5012857,NA,705505.4771560691,497737978297.21277,1.4246732403591684,-210300.36122491915,FALSE,FALSE,TRUE
2009,4,3586,743125815.8781946,2017.4052160978317,368357.2392638037,368357.2392638037,NA,2009.4,sin_winsor,T4,75.85419614242953,0.7585419614242953,NA,NA,NA,485612.21131675894,485612.21131675894,368357.2392638037,485612.21131675894,979676608.1112319,NA,697724.4103691118,486819352824.9248,1.4367933797982577,-212112.19905235287,FALSE,FALSE,TRUE
2010,1,3638,712143226.4768331,2013.6709351539612,353654.22127542604,353654.22127542604,NA,2010.1,sin_winsor,T1,76.13952693293992,0.7613952693293992,NA,NA,NA,464481.76856537064,464481.76856537064,353654.22127542604,464481.76856537064,935313437.2689958,NA,514416.65723148885,264624497237.21912,1.1075066709730081,-49934.88866611822,FALSE,FALSE,TRUE
2010,2,3616,658941411.0780716,2001.3917598724365,329241.592920354,329241.592920354,NA,2010.2,sin_winsor,T2,76.78970226528884,0.7678970226528884,NA,NA,NA,428757.4807659864,428757.4807659864,329241.592920354,428757.4807659864,858111688.9887098,NA,441860.04783517326,195240301872.9016,1.0305593899977648,-13102.567069186896,FALSE,FALSE,TRUE
